City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
248,Thohoyandou,ZA,72.93,clear sky,-22.9456,30.485,Masili Guesthouse & Conference
249,Bowen,AU,73.92,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
250,Hofn,IS,53.62,clear sky,64.2539,-15.2082,Hótel Höfn
251,Maceio,BR,72.84,mist,-9.6658,-35.7353,Hotel Ponta Verde Maceió
252,Tacuarembo,UY,38.93,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
253,Kaitangata,NZ,43.14,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
254,Kasama,ZM,71.62,few clouds,-10.2129,31.1808,Kalebalika Cottages
255,Albert,FR,70.79,clear sky,50.0009,2.6510000000000002,Hotel de la Basilique
256,Daru,PG,79.3,overcast clouds,-9.0763,143.2092,Daru Lodge
257,Pauini,BR,70.43,light rain,-7.7136,-66.9764,Casa do Kiwliks
258,Kloulklubed,PW,75.7,clear sky,7.0419,134.2556,Storyboard Beach Resort
260,Marfino,RU,66.45,clear sky,55.7028,37.3822,Nemchinovka-Park
261,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
262,Pacific Grove,US,57.81,clear sky,36.6177,-121.9166,Lovers Point Inn
263,Ambilobe,MG,88.83,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
264,Cidreira,BR,59.5,scattered clouds,-30.1811,-50.2056,Hotel Castelo
267,Itarema,BR,75.88,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
268,Lasa,IT,73.69,clear sky,46.6166,10.7002,Pension Feldgärtenhof
269,Aras,ES,72.01,clear sky,42.5617,-2.356,Jardines de Viana Spa
270,Imbituba,BR,53.85,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
271,Athabasca,CA,45.01,few clouds,54.7169,-113.2854,Athabasca Lodge Motel
272,Odweyne,SO,88.39,scattered clouds,9.4092,45.06399999999999,Eng Hiirey House
273,Hobart,AU,46.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
274,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
275,Hirara,JP,77.27,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
276,Serik,TR,80.85,clear sky,36.9169,31.0989,Armas Belek - Ultra All Inclusive
277,Maroua,CM,84.42,clear sky,10.591,14.3159,Maroua Palace
278,Sao Joaquim,BR,34.63,clear sky,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
279,Lurgan,GB,56.01,few clouds,54.4608,-6.3294,Ashburn Hotel
280,Prieska,ZA,68.65,clear sky,-29.6641,22.7474,Avenue GuestHouse
281,Iqaluit,CA,42.53,scattered clouds,63.7506,-68.5145,Frobisher Inn
282,Valdivia,CL,44.69,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
283,Chumikan,RU,39.67,scattered clouds,54.7183,135.315,Fortuna
284,Rindal,NO,52.84,overcast clouds,63.0565,9.2124,Saga Trollheimen Hotel
285,Atbasar,KZ,62.87,broken clouds,51.8,68.3333,Гостиничный Комплекс Saad
286,Dingzhou,CN,91.51,clear sky,38.5131,114.9956,宜家时尚宾馆
288,Trairi,BR,74.52,broken clouds,-3.2778,-39.2689,janelas do mar
289,Miles City,US,54.57,broken clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
290,Ilulissat,GL,37.42,few clouds,69.2167,-51.1,Hotel Arctic
291,Sola,VU,82.04,few clouds,-13.8833,167.55,Leumerus Bungalows
292,Goderich,CA,45.91,clear sky,43.7501,-81.7165,Harmony Inn
293,Nizhniy Kuranakh,RU,68.05,scattered clouds,58.8353,125.4869,Park Pobedy
294,Along,IN,75.87,overcast clouds,28.1667,94.7667,Hotel West
295,Riverton,US,66.52,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
296,De-Kastri,RU,47.93,clear sky,51.4667,140.7833,Somon Hotel
